X1,version,uid,type,f2525b,typeDescription,how,parsedhow,time,start,stale,access,opex,opexDescription,qos,qosDescription,flowTagsVersion,remarksSource,remarksTime,remarksTo,remarksKeywords,remarksVersion,requestNotify,requestWilcoby,requestPriority,requestVersion,requestTo,requestAuthority,requestStreamTo,sensorAzimuth,sensorElevation,sensorRoll,sensorFOV,sensorVFOV,sensorNorth,sensorVersion,sensorType,sensorModel,sensorRange,spatialAttitudeRoll,spatialAttitudePitch,spatialAttitudeYaw,spatialAttitudeERoll,spatialAttitudeEPitch,spatialAttitudeEYaw,spatialSpinRoll,spatialSpinPitch,spatialSpinYaw,spatialSpinERoll,spatialSpinEPitch,spatialSpinEYaw,spatialVersion,trackCourse,trackSpeed,trackSlope,trackECourse,trackESpeed,trackESlope,trackVersion,uidVersion,objectid,globalid,x,y
930320,2,1130063479813020,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619724138000,1619724129000,1619724249000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.36432241710264,8.1,NA,NA,NA,NA,NA,NA,930321,{754EFFF3-DF66-431A-9BC4-2A011BA0959D},-76.28662,37.0212
329531,2,364545552196584,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619703683000,1619703636000,1619703756000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.139124958890875,202.17649200000002,NA,NA,NA,NA,NA,NA,329532,{93BF759F-EF28-40AC-96F5-E328DD5DE735},-77.68468,37.68795
632327,2,3469587144401026,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619713643000,1619713635000,1619713755000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.670108880395276,9,NA,NA,NA,NA,NA,NA,632328,{13E6FA9E-0065-431A-94CD-EF07220DCF95},-76.33591,36.98004
253478,2,1439552175748079,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619621858000,1619621722000,1619621842000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.76079882407754,216.580924,NA,NA,NA,NA,NA,NA,253479,{2867A196-CED4-41D8-80BF-1533788C4322},-77.58521,37.67961
340177,2,3593418411058108,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619704043000,1619704066000,1619704186000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.5811395577559,40.641076,NA,NA,NA,NA,NA,NA,340178,{849A9C2B-F64A-43F4-A5F2-623AF101082D},-76.69747,37.22852
446672,2,1885991202086467,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619707573000,1619707588000,1619707708000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.688427775890716,132.726552,NA,NA,NA,NA,NA,NA,446673,{E513D2C4-4BCD-4300-AA62-79CF4E22EAE1},-77.18901,37.61458
805379,2,215518375801925,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619719604000,1619719590000,1619719710000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.26060866263794,5.7,NA,NA,NA,NA,NA,NA,805380,{B8B217FC-1112-4F5F-93B6-2D8320150932},-75.95047,36.90281
416693,2,1029148486976378,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619706604000,1619706616000,1619706736000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.36432241710264,2.6,NA,NA,NA,NA,NA,NA,416694,{B2562467-1588-4F95-B96D-CD94D9AB672C},-76.18199,36.92238
135310,2,1403191665952145,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619617347000,1619617362000,1619617482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44455055671431865,58.646616,NA,NA,NA,NA,NA,NA,135311,{FBAF9D8E-4175-4924-B340-8DE71208500B},-75.90314,37.19009
534696,2,1807230818769543,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619710473000,1619710488000,1619710608000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358.30758567689156,217.09536799999998,NA,NA,NA,NA,NA,NA,534697,{BEAB2DA1-727E-4DAD-8589-271B93C4D7F1},-77.39553,37.6295
